Season,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,FT%,PTS,FG%,Dist.,%FGA_2P,%FGA_0-3,%FGA_3-10,%FGA_10-16,%FGA_16-3P,%FGA_3P,FG%_2P,FG%_0-3,FG%_3-10,FG%_10-16,FG%_16-3P,FG%_3P
2000-2001,Shammond Williams\willish01,PG,25,SEA,69,6,17.9,2.3,5.3,0.9,1.9,1.4,3.4,1.2,1.4,0.875,6.8,0.438,15.9,0.639,0.179,0.128,0.095,0.236,0.361,0.426,0.576,0.362,0.229,0.425,0.459
2000-2001,Walt Williams\williwa02,SF,30,HOU,72,31,22,2.8,7.1,1.4,3.4,1.4,3.7,1.3,1.8,0.77,8.3,0.394,17.6,0.517,0.154,0.06,0.08,0.222,0.483,0.392,0.544,0.161,0.39,0.351,0.395
2000-2001,Corliss Williamson\willico02,SF,27,TOT,69,40,24.4,4.7,9.4,0,0,4.7,9.3,2.2,3.4,0.637,11.6,0.502,6.1,0.997,0.416,0.301,0.179,0.1,0.003,0.504,0.658,0.421,0.448,0.215,0
2000-2001,Kevin Willis\willike02,C,38,TOT,78,22,23.5,3.9,8.8,0,0.1,3.9,8.8,1.4,1.9,0.769,9.3,0.441,9.3,0.991,0.296,0.239,0.23,0.226,0.009,0.443,0.603,0.37,0.371,0.385,0.167
2000-2001,David Wingate\wingada01,SG,37,SEA,1,0,9,3,3,0,0,3,3,0,0,0,6,1,3,1,0.333,0.667,0,0,0,1,1,1,0,0,0
2000-2001,Rubén Wolkowyski\wolkoru01,PF,27,SEA,34,1,9,0.7,2.3,0,0.1,0.7,2.3,0.7,1,0.735,2.2,0.316,8.1,0.975,0.354,0.291,0.139,0.19,0.025,0.325,0.357,0.261,0.273,0.4,0
2000-2001,Metta World Peace\artesro01,SF,21,CHI,76,74,31.1,4.3,10.7,0.6,1.9,3.7,8.8,2.8,3.7,0.75,11.9,0.401,12.2,0.818,0.325,0.103,0.118,0.272,0.182,0.426,0.54,0.31,0.344,0.369,0.291
2000-2001,Lorenzen Wright\wrighlo02,C,25,ATL,71,46,28,5.1,11.4,0,0,5.1,11.4,2.2,3,0.718,12.4,0.448,7.8,0.998,0.314,0.275,0.303,0.105,0.002,0.449,0.647,0.336,0.382,0.341,0
2000-2001,Wang Zhizhi\zhizhwa01,C,23,DAL,5,0,7.6,1.6,3.8,0,0.4,1.6,3.4,1.6,2,0.8,4.8,0.421,13.6,0.895,0.158,0.211,0.158,0.368,0.105,0.471,0.667,0.5,0.333,0.429,0
2002-2003,Tariq Abdul-Wahad\abdulta01,SG,28,DAL,14,0,14.6,1.9,4.1,0,0.1,1.9,4.1,0.2,0.4,0.5,4.1,0.466,8.4,0.983,0.448,0.121,0.224,0.19,0.017,0.474,0.692,0.429,0.077,0.455,0
2002-2003,Shareef Abdur-Rahim\abdursh01,PF,26,ATL,81,81,38.1,7,14.6,0.3,0.7,6.7,13.9,5.6,6.7,0.841,19.9,0.478,9,0.949,0.317,0.272,0.139,0.221,0.051,0.485,0.632,0.429,0.424,0.383,0.35
2002-2003,Courtney Alexander\alexaco02,PG,25,NOH,66,7,20.6,2.9,7.7,0.3,0.9,2.6,6.8,1.8,2.2,0.808,7.9,0.382,13.1,0.887,0.25,0.044,0.234,0.36,0.113,0.388,0.484,0.273,0.347,0.363,0.333
2002-2003,Malik Allen\allenma01,PF,24,MIA,80,73,29,4.2,9.9,0,0.1,4.2,9.8,1.2,1.5,0.802,9.6,0.424,12.4,0.995,0.119,0.222,0.261,0.394,0.005,0.426,0.543,0.457,0.345,0.428,0
2002-2003,Ray Allen*\allenra02,SG,27,TOT,76,75,37.9,7.9,17.9,2.6,7,5.2,10.9,4.2,4.5,0.916,22.5,0.439,15.7,0.609,0.165,0.127,0.185,0.132,0.391,0.478,0.613,0.37,0.492,0.394,0.377
2002-2003,Rafer Alston\alstora01,PG,26,TOR,47,4,20.9,3,7.1,1.1,2.8,1.9,4.4,0.8,1.1,0.685,7.8,0.415,15.7,0.612,0.212,0.11,0.066,0.224,0.388,0.429,0.507,0.459,0.364,0.36,0.392
2002-2003,John Amaechi\amaecjo01,C,32,UTA,50,1,9.5,0.7,2.4,0,0,0.7,2.4,0.5,1,0.481,2,0.314,5,1,0.542,0.254,0.076,0.127,0,0.314,0.391,0.2,0.111,0.333,0
2002-2003,Chris Andersen\anderch01,C,24,DEN,59,3,15.4,1.9,4.8,0,0,1.9,4.8,1.3,2.4,0.55,5.2,0.4,5.6,0.996,0.572,0.147,0.119,0.158,0.004,0.401,0.54,0.238,0.294,0.133,0
2002-2003,Derek Anderson\anderde01,PG,28,POR,76,76,33.6,4.7,10.9,1.5,4.4,3.1,6.6,3,3.5,0.859,13.9,0.427,16.7,0.602,0.192,0.054,0.091,0.264,0.398,0.477,0.656,0.489,0.382,0.377,0.35
2002-2003,Kenny Anderson\anderke01,PG,32,TOT,61,2,18.6,2.7,6.3,0,0.1,2.7,6.1,0.7,0.9,0.789,6.1,0.427,10.3,0.982,0.317,0.168,0.154,0.343,0.018,0.432,0.554,0.297,0.458,0.374,0.143
2002-2003,Shandon Anderson\andersh01,SF,29,NYK,82,9,21.1,3,6.5,0.6,1.7,2.4,4.8,1.7,2.3,0.732,8.4,0.462,10.8,0.739,0.389,0.11,0.14,0.101,0.261,0.494,0.584,0.373,0.36,0.463,0.371
2002-2003,Robert Archibald\archiro01,PF,22,MEM,12,0,6,0.5,1.7,0,0,0.5,1.7,0.6,1.5,0.389,1.6,0.3,5.9,1,0.5,0.2,0.2,0.1,0,0.3,0.5,0,0.25,0,0
2002-2003,Gilbert Arenas\arenagi01,PG,21,GSW,82,82,35,6.2,14.4,1.3,3.8,4.9,10.6,4.5,5.7,0.791,18.3,0.431,13.2,0.735,0.303,0.095,0.095,0.242,0.265,0.461,0.625,0.188,0.411,0.385,0.348
2002-2003,Brandon Armstrong\armstbr01,SG,22,NJN,17,0,4.1,0.5,1.6,0.1,0.4,0.5,1.2,0.3,0.4,0.833,1.4,0.333,16.9,0.778,0.148,0.037,0.111,0.481,0.222,0.381,0.5,0,0.333,0.385,0.167
2002-2003,Darrell Armstrong\armstda01,PG,34,ORL,82,23,28.7,3.2,7.8,1,2.8,2.3,5,2,2.3,0.878,9.4,0.409,16.5,0.639,0.202,0.039,0.107,0.291,0.361,0.45,0.538,0.24,0.391,0.439,0.336
2002-2003,Carlos Arroyo\arroyca01,PG,23,UTA,44,0,6.5,1.1,2.5,0.1,0.2,1.1,2.3,0.4,0.5,0.818,2.8,0.459,11.2,0.936,0.284,0.183,0.119,0.349,0.064,0.461,0.71,0.3,0.462,0.342,0.429
2002-2003,Chucky Atkins\atkinch01,PG,28,DET,65,7,21.5,2.6,7.2,1.3,3.7,1.3,3.4,0.6,0.8,0.816,7.1,0.361,18.7,0.48,0.161,0.054,0.041,0.224,0.52,0.368,0.453,0.24,0.211,0.365,0.355
2002-2003,Stacey Augmon\augmost01,SG,34,NOH,70,3,12.3,1.1,2.7,0,0.1,1.1,2.6,0.8,1,0.75,3,0.411,9.4,0.964,0.339,0.141,0.286,0.198,0.036,0.427,0.585,0.519,0.345,0.211,0
2002-2003,Dalibor Bagari?\bagarda01,C,22,CHI,10,0,7.6,0.8,2.6,0,0,0.8,2.6,0.3,0.4,0.75,1.9,0.308,8.9,1,0.231,0.346,0.269,0.154,0,0.308,0.333,0.222,0.286,0.5,0
2002-2003,Vin Baker\bakervi01,C,31,BOS,52,9,18.1,1.9,4,0,0.1,1.9,3.9,1.4,2.1,0.673,5.2,0.478,5.5,0.981,0.546,0.261,0.082,0.092,0.019,0.488,0.611,0.407,0.059,0.368,0
2002-2003,Brent Barry\barrybr01,SG,31,SEA,75,68,33.1,3.5,7.7,1.6,3.9,1.9,3.8,1.7,2.1,0.795,10.3,0.458,16.3,0.492,0.262,0.076,0.021,0.133,0.508,0.514,0.682,0.318,0.167,0.351,0.403
2002-2003,Jon Barry\barryjo01,SG,33,DET,80,0,18.4,2.4,5.3,1.1,2.7,1.3,2.6,1.1,1.3,0.86,6.9,0.45,18.4,0.495,0.165,0.024,0.08,0.226,0.505,0.495,0.5,0.5,0.324,0.552,0.407
2002-2003,Maceo Baston\bastoma01,PF,27,TOR,16,0,6.6,0.9,1.6,0,0,0.9,1.6,0.6,0.8,0.833,2.5,0.6,3,1,0.72,0.16,0.08,0.04,0,0.6,0.667,0.5,0.5,0,0
2002-2003,Mengke Bateer\bateeme01,C,27,SAS,12,0,3.8,0.3,1.4,0.1,0.3,0.3,1.2,0,0.2,0,0.8,0.235,12.9,0.824,0.235,0.176,0.176,0.235,0.176,0.214,0.5,0,0,0.25,0.333
2002-2003,Mike Batiste\batismi01,PF,25,MEM,75,2,16.6,2.6,6.2,0.2,1.1,2.4,5.1,0.9,1.2,0.784,6.4,0.422,12.1,0.827,0.313,0.113,0.146,0.255,0.173,0.464,0.664,0.321,0.397,0.319,0.222
2002-2003,Tony Battie\battito01,C,26,BOS,67,62,25.1,3,5.5,0,0.1,3,5.4,1.3,1.8,0.746,7.3,0.539,8.6,0.986,0.404,0.157,0.236,0.19,0.014,0.544,0.792,0.345,0.379,0.386,0.2
2002-2003,Shane Battier\battish01,SF,24,MEM,78,47,30.6,3.5,7.3,1.1,2.8,2.4,4.5,1.5,1.9,0.828,9.7,0.483,14.5,0.62,0.251,0.077,0.12,0.172,0.38,0.535,0.622,0.545,0.397,0.5,0.398
2002-2003,Lonny Baxter\baxtelo01,C,24,CHI,55,0,12.4,1.7,3.7,0,0,1.7,3.7,1.3,1.9,0.68,4.8,0.466,3.8,0.99,0.626,0.233,0.107,0.024,0.01,0.471,0.574,0.271,0.273,0.6,0
2002-2003,Raja Bell\bellra01,SG,26,DAL,75,32,15.6,1.2,2.8,0.3,0.7,1,2.1,0.3,0.5,0.676,3.1,0.441,15.3,0.758,0.213,0.071,0.076,0.398,0.242,0.45,0.667,0.267,0.438,0.369,0.412
2002-2003,Jonathan Bender\bendejo01,SF,22,IND,46,2,17.8,2.4,5.5,0.4,1.2,2,4.4,1.3,1.8,0.714,6.6,0.441,12.8,0.791,0.26,0.134,0.15,0.248,0.209,0.463,0.636,0.412,0.421,0.333,0.358
2002-2003,Corey Benjamin\benjaco01,SG,24,ATL,9,0,16.9,1.4,4.8,0.2,1.4,1.2,3.3,1.3,1.8,0.75,4.4,0.302,10.8,0.698,0.395,0.163,0.07,0.07,0.302,0.367,0.529,0.143,0,0.333,0.154
2002-2003,Travis Best\besttr01,PG,30,MIA,72,52,25.1,3.2,8.1,0.5,1.5,2.7,6.6,1.5,1.7,0.854,8.4,0.396,14.2,0.813,0.24,0.065,0.123,0.384,0.187,0.411,0.514,0.447,0.361,0.357,0.33
2002-2003,Mike Bibby\bibbymi01,PG,24,SAC,55,55,33.4,6,12.7,1,2.5,5,10.2,2.9,3.4,0.861,15.9,0.47,14.8,0.804,0.207,0.089,0.091,0.417,0.196,0.485,0.628,0.435,0.422,0.438,0.409
2002-2003,Chauncey Billups\billuch01,PG,26,DET,74,74,31.4,4.9,11.8,2,5.1,2.9,6.6,4.3,4.9,0.878,16.2,0.421,17,0.563,0.205,0.048,0.092,0.218,0.437,0.443,0.489,0.405,0.463,0.4,0.392
2002-2003,Corie Blount\blounco01,C,34,CHI,50,3,16.7,1.3,2.7,0,0,1.3,2.7,0.4,0.7,0.571,3,0.485,9.9,1,0.321,0.104,0.336,0.239,0,0.485,0.535,0.143,0.378,0.719,0
2002-2003,Mark Blount\blounma01,C,27,TOT,81,31,17.3,1.9,4.3,0,0,1.9,4.3,1.2,1.7,0.727,5,0.432,7.5,1,0.386,0.242,0.196,0.176,0,0.432,0.575,0.333,0.397,0.295,0
2002-2003,Calvin Booth\boothca01,C,26,SEA,47,0,12.2,1.1,2.5,0,0,1.1,2.5,0.7,1,0.723,2.9,0.437,9.9,0.983,0.311,0.185,0.202,0.286,0.017,0.444,0.595,0.455,0.583,0.176,0
2002-2003,Carlos Boozer\boozeca01,PF,21,CLE,81,54,25.3,4.1,7.6,0,0,4.1,7.6,1.8,2.4,0.771,10,0.536,6.7,0.998,0.511,0.146,0.168,0.173,0.002,0.536,0.661,0.333,0.471,0.402,0
2002-2003,Ruben Boumtje-Boumtje\boumtru01,C,24,POR,2,0,2.5,0,0.5,0,0,0,0.5,0,0,0,0,0,9.2,1,0,1,0,0,0,0,0,0,0,0,0
2002-2003,Bruce Bowen\bowenbr01,SF,31,SAS,82,82,31.3,2.7,5.8,1.2,2.8,1.5,3,0.4,1.1,0.404,7.1,0.466,16,0.522,0.19,0.104,0.071,0.157,0.478,0.488,0.637,0.36,0.412,0.427,0.441
2002-2003,Ryan Bowen\bowenry01,SG,27,DEN,62,31,16.1,1.6,3.2,0,0.1,1.5,3.1,0.4,0.7,0.659,3.6,0.492,7.8,0.964,0.528,0.081,0.066,0.289,0.036,0.5,0.567,0.375,0.385,0.439,0.286
2002-2003,Earl Boykins\boykiea01,PG,26,GSW,68,0,19.4,2.9,6.8,0.4,1.1,2.5,5.7,2.5,2.9,0.865,8.8,0.429,13.6,0.834,0.123,0.203,0.246,0.263,0.166,0.439,0.579,0.426,0.474,0.352,0.377
2002-2003,Michael Bradley\bradlmi01,PF,23,TOR,67,11,19.6,2.3,4.7,0,0.1,2.2,4.6,0.5,1,0.522,5,0.481,5.4,0.981,0.583,0.169,0.159,0.07,0.019,0.487,0.617,0.34,0.26,0.273,0.167
2002-2003,Shawn Bradley\bradlsh01,C,30,DAL,81,39,21.4,2.5,4.6,0,0,2.5,4.6,1.7,2.2,0.806,6.7,0.536,6.5,0.997,0.472,0.229,0.101,0.195,0.003,0.537,0.701,0.477,0.289,0.342,0
2002-2003,Elton Brand\brandel01,PF,23,LAC,62,61,39.6,7.3,14.5,0,0,7.3,14.5,3.9,5.7,0.685,18.5,0.502,6.2,0.999,0.415,0.296,0.224,0.065,0.001,0.502,0.657,0.41,0.388,0.328,0
2002-2003,J.R. Bremer\bremejr01,PG,22,BOS,64,41,23.5,2.7,7.3,1.6,4.5,1.1,2.8,1.3,1.7,0.766,8.3,0.369,18.8,0.384,0.172,0.047,0.041,0.123,0.616,0.393,0.388,0.364,0.421,0.404,0.353
2002-2003,Jamison Brewer\breweja01,PG,22,IND,10,0,8,0.9,1.7,0,0.2,0.9,1.5,0.4,0.9,0.444,2.2,0.529,4.1,0.882,0.765,0.118,0,0,0.118,0.6,0.615,0.5,0,0,0
2002-2003,Primož Brezec\brezepr01,C,23,IND,22,1,5,0.7,1.7,0,0,0.7,1.7,0.5,0.9,0.6,1.9,0.395,9.6,0.974,0.316,0.263,0.184,0.211,0.026,0.405,0.667,0.4,0.429,0,0
2002-2003,Damone Brown\brownda02,PF,23,TOR,5,3,23,2.2,7,0,0.4,2.2,6.6,1.2,1.6,0.75,5.6,0.314,12.6,0.943,0.2,0.114,0.2,0.429,0.057,0.333,0.571,0.25,0.286,0.267,0
2002-2003,Devin Brown\brownde02,SG,24,TOT,10,2,9.3,1.2,3.5,0,0.1,1.2,3.4,0.6,0.8,0.75,3,0.343,11.8,0.971,0.286,0.114,0.086,0.486,0.029,0.353,0.6,0,0.333,0.294,0
2002-2003,Kedrick Brown\brownke01,SF,21,BOS,51,5,13.1,1.2,3.4,0.1,0.8,1.1,2.6,0.4,0.6,0.625,2.8,0.357,12.2,0.772,0.333,0.129,0.088,0.222,0.228,0.439,0.649,0.182,0.467,0.263,0.077
2002-2003,Kwame Brown\brownkw01,C,20,WAS,80,20,22.2,2.8,6.3,0,0,2.8,6.2,1.8,2.7,0.668,7.4,0.446,6.5,0.994,0.376,0.325,0.237,0.056,0.006,0.449,0.614,0.319,0.412,0.25,0
2002-2003,P.J. Brown\brownpj01,PF,33,NOH,78,78,33.4,4.1,7.7,0,0,4.1,7.7,2.5,3,0.836,10.7,0.531,8.4,0.995,0.348,0.176,0.283,0.188,0.005,0.533,0.593,0.434,0.518,0.54,0
2002-2003,Randy Brown\brownra02,PG,34,PHO,32,0,8.2,0.5,1.3,0,0,0.5,1.3,0.3,0.4,0.75,1.3,0.372,12.8,1,0.209,0.023,0.279,0.488,0,0.372,0.333,1,0.333,0.381,0
2002-2003,Tierre Brown\brownti01,PG,23,CLE,15,0,11.2,1.8,3.9,0,0.1,1.8,3.9,0.7,0.9,0.786,4.3,0.458,7.9,0.983,0.407,0.271,0.136,0.169,0.017,0.466,0.708,0.25,0.375,0.3,0
2002-2003,Rick Brunson\brunsri01,PG,30,CHI,17,0,11.5,1.4,2.9,0.2,0.4,1.1,2.6,0.6,0.7,0.833,3.5,0.46,15.8,0.88,0.16,0.04,0.1,0.58,0.12,0.432,0.5,0.5,0.6,0.379,0.667
2002-2003,Kobe Bryant*\bryanko01,SG,24,LAL,82,82,41.5,10.6,23.5,1.5,4,9.1,19.5,7.3,8.7,0.843,30,0.451,13.9,0.832,0.215,0.106,0.189,0.322,0.168,0.465,0.642,0.426,0.361,0.421,0.383
2002-2003,Mark Bryant\bryanma01,PF,37,TOT,16,0,6.3,0.3,1.2,0,0,0.3,1.2,0.2,0.3,0.75,0.8,0.263,11.3,1,0.105,0.158,0.526,0.211,0,0.263,0.5,0.333,0.3,0,0
2002-2003,Greg Buckner\buckngr01,SG,26,PHI,75,5,20.2,2.5,5.3,0.2,0.7,2.3,4.6,0.9,1.1,0.802,6,0.465,10,0.862,0.379,0.153,0.141,0.188,0.138,0.496,0.642,0.459,0.286,0.387,0.273
2002-2003,Pat Burke\burkepa01,C,29,ORL,62,8,12.6,1.8,4.8,0,0.1,1.8,4.7,0.6,0.9,0.69,4.3,0.382,10.9,0.976,0.334,0.145,0.084,0.412,0.024,0.388,0.505,0.395,0.44,0.279,0.143
2002-2003,Caron Butler\butleca01,SF,22,MIA,78,78,36.6,5.5,13.2,0.4,1.4,5.1,11.9,4,4.8,0.824,15.4,0.416,10.5,0.896,0.354,0.147,0.154,0.241,0.104,0.427,0.548,0.362,0.302,0.369,0.318
2002-2003,Rasual Butler\butlera01,SG,23,MIA,72,28,21,2.9,7.9,0.7,2.4,2.2,5.6,1.1,1.4,0.731,7.5,0.362,15.7,0.701,0.154,0.084,0.187,0.276,0.299,0.392,0.466,0.375,0.383,0.361,0.292
2002-2003,Jason Caffey\caffeja01,PF,29,MIL,51,16,17.5,2.2,4.9,0,0,2.2,4.9,1.4,2.1,0.651,5.8,0.456,5.5,1,0.484,0.258,0.169,0.089,0,0.456,0.592,0.375,0.31,0.227,0
2002-2003,Marcus Camby\cambyma01,C,28,DEN,29,9,21.2,3.2,7.8,0.1,0.2,3.1,7.7,1.1,1.7,0.66,7.6,0.41,8.7,0.978,0.388,0.181,0.132,0.278,0.022,0.41,0.557,0.317,0.433,0.254,0.4
2002-2003,Elden Campbell\campbel01,C,34,TOT,56,1,15.5,2.1,5.3,0,0,2.1,5.3,1.9,2.4,0.801,6.1,0.397,8.8,0.997,0.227,0.325,0.281,0.163,0.003,0.398,0.522,0.344,0.337,0.438,0
2002-2003,Brian Cardinal\cardibr01,PF,25,WAS,5,0,3,0.2,0.8,0,0.2,0.2,0.6,0.4,0.4,1,0.8,0.25,13.3,0.75,0.25,0,0.5,0,0.25,0.333,1,0,0,0,0
2002-2003,Anthony Carter\cartean01,PG,27,MIA,49,26,18.6,1.7,4.8,0,0.2,1.7,4.6,0.7,1,0.66,4.1,0.356,13.8,0.966,0.232,0.077,0.142,0.515,0.034,0.369,0.574,0.333,0.364,0.283,0
2002-2003,Vince Carter\cartevi01,SG,26,TOR,43,42,34.2,8.3,17.7,1,3,7.2,14.6,3,3.7,0.806,20.6,0.467,14.3,0.828,0.187,0.121,0.15,0.37,0.172,0.493,0.655,0.489,0.535,0.395,0.344
2002-2003,Sam Cassell\cassesa01,PG,33,MIL,78,77,34.6,7,14.9,0.8,2.1,6.2,12.8,4.9,5.7,0.861,19.7,0.47,14.1,0.86,0.131,0.114,0.352,0.262,0.14,0.487,0.605,0.496,0.479,0.436,0.362
2002-2003,Kelvin Cato\catoke01,C,28,HOU,73,5,17.1,1.8,3.5,0,0.1,1.8,3.5,0.9,1.7,0.532,4.5,0.52,4.1,0.984,0.648,0.191,0.109,0.035,0.016,0.528,0.657,0.286,0.25,0.333,0
2002-2003,Tyson Chandler\chandty01,C,20,CHI,75,68,24.4,3.4,6.5,0,0,3.4,6.5,2.4,3.9,0.608,9.2,0.531,4.3,1,0.583,0.215,0.151,0.052,0,0.531,0.649,0.423,0.37,0.12,0
2002-2003,Calbert Cheaney\cheanca01,SG,31,UTA,81,74,29,4,8,0.1,0.3,3.9,7.7,0.5,0.9,0.58,8.6,0.499,12.4,0.962,0.253,0.101,0.149,0.458,0.038,0.503,0.655,0.485,0.433,0.446,0.4
2002-2003,Chris Childs\childch01,PG,35,NJN,12,0,8.8,0.5,1.7,0.1,0.5,0.4,1.2,0.2,0.3,0.667,1.3,0.3,21.4,0.7,0.1,0,0.15,0.45,0.3,0.357,0,0,0.333,0.444,0.167
2002-2003,Doug Christie\chrisdo01,SG,32,SAC,80,80,33.9,3.3,7,0.9,2.3,2.4,4.7,1.8,2.2,0.81,9.4,0.479,14.7,0.668,0.305,0.039,0.047,0.276,0.332,0.522,0.682,0.409,0.308,0.396,0.395
2002-2003,Keon Clark\clarkke01,C,27,SAC,80,11,22.3,2.8,5.6,0,0.1,2.8,5.6,1.1,1.6,0.656,6.7,0.501,7.6,0.991,0.399,0.253,0.155,0.184,0.009,0.506,0.694,0.377,0.329,0.422,0
2002-2003,Speedy Claxton\claxtsp01,PG,24,SAS,30,0,15.7,2.2,4.8,0,0.4,2.2,4.5,1.3,1.9,0.684,5.8,0.462,12.2,0.924,0.269,0.159,0.11,0.386,0.076,0.5,0.667,0.261,0.188,0.571,0
2002-2003,Mateen Cleaves\cleavma01,PG,25,SAC,12,0,4.6,0.5,1.9,0.1,0.1,0.4,1.8,0.3,0.3,0.75,1.3,0.261,11.3,0.957,0.348,0.043,0.087,0.478,0.043,0.227,0.25,0,0,0.273,1
2002-2003,Derrick Coleman\colemde01,C,35,PHI,64,35,27.2,3.5,7.8,0.3,1,3.1,6.7,2.1,2.7,0.784,9.4,0.448,9.4,0.865,0.378,0.171,0.197,0.12,0.135,0.466,0.59,0.388,0.337,0.4,0.328
2002-2003,Bimbo Coles\colesbi01,PG,34,TOT,35,11,19.7,1.6,4.8,0.2,0.9,1.4,3.9,1,1.2,0.833,4.4,0.333,16.6,0.81,0.095,0.077,0.238,0.399,0.19,0.36,0.438,0.154,0.3,0.418,0.219
2002-2003,Jason Collier\collija02,C,25,HOU,13,3,8,1.3,2.8,0,0,1.3,2.8,0.2,0.2,1,2.8,0.472,5.5,1,0.5,0.333,0.056,0.111,0,0.472,0.667,0.333,0,0.25,0
2002-2003,Jarron Collins\collija03,C,24,UTA,22,7,19.1,1.7,3.9,0,0,1.7,3.9,2,2.8,0.71,5.5,0.442,6.7,0.988,0.5,0.116,0.233,0.14,0.012,0.447,0.605,0.1,0.25,0.5,0
2002-2003,Jason Collins\collija04,C,24,NJN,81,66,23.5,1.7,4.2,0,0,1.7,4.1,2.2,2.9,0.763,5.7,0.414,6.8,0.988,0.503,0.148,0.163,0.175,0.012,0.419,0.494,0.26,0.418,0.339,0
2002-2003,Chris Crawford\crawfch01,PF,27,ATL,5,0,7.6,1.6,2.6,0.2,0.6,1.4,2,1.4,1.6,0.875,4.8,0.615,13.8,0.769,0.231,0.077,0.308,0.154,0.231,0.7,0.667,1,0.5,1,0.333
2002-2003,Jamal Crawford\crawfja01,PG,22,CHI,80,31,24.9,4.2,10.1,1.1,3,3.1,7.1,1.3,1.6,0.806,10.7,0.413,15.6,0.7,0.182,0.129,0.115,0.275,0.3,0.438,0.551,0.385,0.419,0.396,0.355
2002-2003,Austin Croshere\croshau01,PF,27,IND,49,0,12.9,1.8,4.3,0.6,1.4,1.2,2.9,1.1,1.3,0.815,5.1,0.411,15.1,0.67,0.225,0.077,0.124,0.244,0.33,0.421,0.617,0.313,0.269,0.353,0.391
2002-2003,John Crotty\crottjo01,PG,33,DEN,12,0,15,1.2,3.4,0.3,1.1,0.8,2.3,0.8,1.3,0.6,3.4,0.341,15,0.683,0.244,0.073,0.098,0.268,0.317,0.357,0.5,0,0.25,0.364,0.308
2002-2003,Eddy Curry\curryed01,C,20,CHI,81,48,19.4,4.1,7.1,0,0,4.1,7.1,2.2,3.5,0.624,10.5,0.585,3.6,1,0.576,0.314,0.091,0.019,0,0.585,0.673,0.511,0.346,0.273,0
2002-2003,Michael Curry\currymi01,SF,34,DET,78,77,19.9,1.2,2.9,0.2,0.7,1,2.2,0.5,0.6,0.8,3,0.402,15.6,0.764,0.231,0.026,0.061,0.445,0.236,0.434,0.547,0,0.429,0.402,0.296
2002-2003,Erick Dampier\dampier01,C,27,GSW,82,82,24.1,3.2,6.4,0,0,3.2,6.3,1.9,2.7,0.698,8.2,0.496,3.9,0.996,0.5,0.402,0.075,0.019,0.004,0.498,0.659,0.338,0.333,0.3,0
2002-2003,Antonio Daniels\daniean01,SG,27,POR,67,2,13,1.3,2.8,0.3,0.9,1,1.9,1,1.1,0.855,3.7,0.452,13.6,0.683,0.285,0.118,0.108,0.172,0.317,0.52,0.623,0.636,0.4,0.344,0.305
2002-2003,Antonio Davis\davisan01,C,34,TOR,53,52,35.7,4.9,12.1,0,0,4.9,12.1,4.1,5.3,0.771,13.9,0.407,9.2,1,0.317,0.167,0.303,0.214,0,0.407,0.522,0.374,0.392,0.285,0
2002-2003,Baron Davis\davisba01,PG,23,NOH,50,47,37.8,6.6,16,2,5.7,4.7,10.3,1.9,2.6,0.71,17.1,0.416,14.1,0.645,0.294,0.079,0.12,0.152,0.355,0.452,0.553,0.333,0.365,0.388,0.35
2002-2003,Dale Davis\davisda01,C,33,POR,78,78,29.3,3,5.6,0,0,3,5.6,1.3,2.1,0.633,7.4,0.541,5.1,1,0.546,0.167,0.228,0.059,0,0.541,0.69,0.26,0.4,0.5,0
2002-2003,Emanual Davis\davisem01,SG,34,ATL,24,1,14.2,1.3,3.7,0.3,1.2,1,2.5,0.7,0.9,0.773,3.7,0.364,15.8,0.67,0.205,0.068,0.102,0.295,0.33,0.424,0.5,0.167,0.556,0.385,0.241
2002-2003,Hubert Davis\davishu01,SG,32,DET,43,1,7.6,0.7,1.8,0.3,0.8,0.4,1,0.1,0.1,0.833,1.8,0.392,20.1,0.544,0.076,0.025,0.051,0.392,0.456,0.442,0.5,1,0.75,0.355,0.333
2002-2003,Ricky Davis\davisri01,SG,23,CLE,79,76,39.6,7.6,18.6,0.9,2.6,6.7,16,4.4,5.9,0.748,20.6,0.41,13.7,0.861,0.218,0.08,0.21,0.353,0.139,0.417,0.642,0.322,0.341,0.345,0.363
2002-2003,Andrew DeClercq\declean01,C,29,ORL,77,21,17.2,1.9,3.6,0,0,1.9,3.6,0.9,1.4,0.644,4.7,0.534,2.3,1,0.753,0.161,0.065,0.022,0,0.534,0.595,0.4,0.222,0.333,0
2002-2003,Tony Delk\delkto01,PG,29,BOS,67,39,28,3.5,8.4,1.8,4.5,1.7,3.8,1,1.3,0.782,9.8,0.416,19,0.457,0.116,0.068,0.073,0.2,0.543,0.441,0.569,0.263,0.317,0.473,0.395
2002-2003,Dan Dickau\dickada01,PG,24,ATL,50,0,10.3,1.4,3.4,0.4,1.2,1,2.2,0.4,0.5,0.808,3.7,0.412,15,0.641,0.176,0.188,0.071,0.206,0.359,0.44,0.533,0.313,0.25,0.543,0.361
2002-2003,Michael Dickerson\dickemi01,SG,27,MEM,6,1,14.5,1.7,4,0.7,1.8,1,2.2,0.8,0.8,1,4.8,0.417,15.5,0.542,0.292,0.042,0.042,0.167,0.458,0.462,0.571,0,1,0.25,0.364
