Season,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,FT%,PTS,FG%,Dist.,%FGA_2P,%FGA_0-3,%FGA_3-10,%FGA_10-16,%FGA_16-3P,%FGA_3P,FG%_2P,FG%_0-3,FG%_3-10,FG%_10-16,FG%_16-3P,FG%_3P
2014-2015,Mike Scott\scottmi01,PF,26,ATL,68,0,16.5,3,6.7,1,2.8,2,3.8,0.9,1.1,0.792,7.8,0.444,15.2,0.576,0.183,0.166,0.117,0.11,0.424,0.517,0.699,0.427,0.415,0.46,0.344
2014-2015,Thabo Sefolosha\sefolth01,SF,30,ATL,52,7,18.8,2,4.8,0.5,1.5,1.5,3.3,0.9,1.1,0.776,5.3,0.418,10.8,0.687,0.418,0.124,0.04,0.1,0.313,0.462,0.567,0.419,0.3,0.16,0.321
2014-2015,Kevin Séraphin\serapke01,C,25,WAS,79,0,15.6,2.9,5.7,0,0,2.9,5.7,0.7,1,0.707,6.6,0.513,8,0.996,0.238,0.384,0.242,0.131,0.004,0.516,0.701,0.468,0.44,0.458,0
2014-2015,Ramon Sessions\sessira01,PG,28,TOT,64,10,18.6,2,5.2,0.3,0.9,1.7,4.3,2.1,2.7,0.769,6.3,0.374,9.8,0.82,0.308,0.296,0.093,0.123,0.18,0.387,0.524,0.323,0.226,0.317,0.317
2014-2015,Iman Shumpert\shumpim01,SG,24,TOT,62,25,24.9,3.1,7.6,1.1,3.2,2,4.4,0.7,1,0.672,8,0.41,16.2,0.584,0.187,0.068,0.104,0.225,0.416,0.458,0.568,0.25,0.408,0.453,0.342
2014-2015,Alexey Shved\shvedal01,SG,26,TOT,42,9,18.3,3.2,8,1.1,3.3,2,4.7,2.9,3.6,0.807,10.3,0.397,14.1,0.585,0.337,0.101,0.048,0.099,0.415,0.439,0.584,0.206,0.125,0.333,0.338
2014-2015,Henry Sims\simshe01,C,24,PHI,73,32,19.2,3.3,6.9,0.1,0.3,3.2,6.6,1.5,1.9,0.774,8,0.474,9.9,0.956,0.317,0.179,0.175,0.285,0.044,0.488,0.623,0.411,0.409,0.434,0.182
2014-2015,Kyle Singler\singlky01,SF,26,TOT,80,58,21.8,2.2,5.6,1.2,3,1,2.6,0.5,0.7,0.769,6,0.386,17.1,0.46,0.152,0.11,0.076,0.121,0.54,0.371,0.588,0.163,0.353,0.296,0.398
2014-2015,Donald Sloan\sloando01,PG,27,IND,53,21,20.9,2.7,6.7,0.8,2.5,2,4.2,1.1,1.5,0.779,7.4,0.408,13.6,0.631,0.287,0.149,0.068,0.13,0.369,0.464,0.588,0.434,0.375,0.283,0.313
2014-2015,Marcus Smart\smartma01,PG,20,BOS,67,38,27,2.6,7.1,1.4,4.1,1.3,3.1,1.2,1.9,0.646,7.8,0.367,17.5,0.43,0.176,0.09,0.071,0.092,0.57,0.41,0.56,0.256,0.382,0.295,0.335
2014-2015,Greg Smith\smithgr02,PF,24,DAL,42,2,8.6,0.7,1.2,0,0,0.7,1.2,0.5,0.9,0.513,1.9,0.612,1.7,1,0.816,0.163,0.02,0,0,0.612,0.625,0.625,0,0,0
2014-2015,Ish Smith\smithis01,PG,26,TOT,55,14,15.1,2.6,6.7,0.3,1.1,2.3,5.6,0.6,1,0.596,6.1,0.39,7.8,0.837,0.322,0.417,0.076,0.022,0.163,0.407,0.551,0.346,0.214,0.125,0.3
2014-2015,J.R. Smith\smithjr01,SG,29,TOT,70,51,29.7,4.5,10.8,2.3,6.1,2.2,4.7,0.8,1,0.75,12.1,0.417,19.4,0.436,0.106,0.058,0.062,0.209,0.564,0.462,0.563,0.409,0.34,0.462,0.383
2014-2015,Jason Smith\smithja02,C,28,NYK,82,31,21.8,3.1,7.2,0.2,0.5,3,6.7,1.5,1.9,0.83,8,0.434,13.5,0.929,0.145,0.132,0.206,0.446,0.071,0.44,0.488,0.359,0.475,0.432,0.357
2014-2015,Josh Smith\smithjo03,PF,29,TOT,83,35,27.7,5,11.9,0.9,2.7,4.1,9.1,1.5,3.1,0.498,12.4,0.419,10.7,0.769,0.297,0.291,0.037,0.144,0.231,0.451,0.635,0.348,0.324,0.31,0.316
2014-2015,Russ Smith\smithru01,PG,23,TOT,12,0,5.4,0.7,2.1,0.2,0.9,0.5,1.2,1,1.1,0.923,2.5,0.32,16.7,0.56,0.2,0.16,0.16,0.04,0.44,0.429,0.4,0.75,0.25,0,0.182
2014-2015,Tony Snell\snellto01,SF,23,CHI,72,22,19.6,2.2,5.2,1,2.7,1.2,2.4,0.6,0.8,0.8,6,0.429,16.2,0.469,0.226,0.111,0.03,0.102,0.531,0.494,0.667,0.317,0.273,0.368,0.371
